Crop,Question,Answer
cassava,How can I control cassava mosaic disease.,Cassava mosaic disease is controlled by the use clean planting material of resistant varieties
cassava,How can I control cassava weevils during storage?,Use chemicals
cassava,How can I control cassava white flies in my cassava garden.,Intercorpping cassava maize/spraying pesticides
beans,How can I control caterpillar eating the stems of my beans plant,Use insecticides
cassava,How can I control cockroaches in my cassava store.,Use insecticides which is approved
maize,How can I control deficiency in maize,Apply a fertilizer
beans,How can I control flies in my beans garden,Spray them or use resistant crops of the crop you are planting
beans,How can I control goat weeds in my bean garden.,Use herbicides
cassava,How can I control maintain cassava garden look health.,Good management practices and use of the right varieties
maize,How can I control maize streak disease,Use tolerant varieties and practice good practices
cassava,How can I control mole rat in my cassava,Use rodenticdes or rat poison
maize,How can I control my maize seeds from being dormant,Harvest when mature and keep well
cassava,How can I control pests from my Cassava garden,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
cassava,How can I control pig weeds in my cassava garden.,Use the right herbicide which is recommended
cassava,How can I control scale insects in cassava garden,Apply pesticide
general,How can I control soil erosion,Farmers can terrace their gardens or mulch their gardens to stop erosion
cassava,How can I control soil erosion in cassava garden,Mulching
cassava,How can I control spear grass in my Cassava garden?,Use the right herbicide which is recommended
cassava,How can I control spider on cassava leaves,Use mitecides
maize,How can I control stalk rot in maize ?,Use resistant varieties
beans,How can I control star grass in my bean garden?,Use the right herbicide which is recommended
beans,How can I control stem borers in beans,Use resistant varieties and increase on water availability for crop vigor
maize,How can I control stringer in my maize gardens,Good crop management in addition to using disease resistant varieties controls diseases
cassava,How can I control termites eating my Cassava roots?,Use termiticides and harvest early
general,How can I control termites in my garden,Use termiticides on recommendation of the agric offcier
general,How can I control the growth of spear grass in the garden.,Weed off the weeds early and where possibble spray with the recomended herbicide
beans,How can I control the spread of beans mosaic,Use good varieties
cassava,How can I control the under ground pests like mole rats in my Cassava,Use traps or rodenticides
cassava,How can I control thief in my cassava garden,Security guarding
maize,How can I control top rot disease in my maize plants ?,Use recommended practices and cultural control practices
cassava,How can I control water longing in cassava garden?,Drain the land using terraces
cassava,How can I control water longing in my cassava garden,Use draining terraces
cassava,How can I control water longing in my cassava garden?,Use terraces
maize,How can I control weevils in my maize store,Use phsphine
beans,How can I control weeds in my bean garden,Weed regularly or use herbicides if crop is herbicide ready
cassava,How can I control weevils in the cassava store?,Use the recommended pesticides and insecticides
cassava,How can I control white flies on my Cassava leaves?,Use pestcides recommended
maize,How can I control yellowing in maize,Use resistant varieties
cassava,How can I detect cassava stem infected by cassava brown streak?,Yellowing of leaves on the plant and browning of stems that have streaks on them
general,How can I determine good yield seeds?,You can consult with the seed company for performance records
beans,How can I do away with beans weevils,Spray them or use resistant varieties
general,How can I do drip irrigating method in my garden?,Set up drips and supply water
maize,How can I do drip irrigation method to my maize garden?,Use drips available from irrigation experts
general,How can I do good crop management,Use good cropping practices
maize,How can I eliminate weeds in maize garden,Remove them by weeding
general,How can I follow rotation practice,Grow different crops as advised by the agric officer
general,How can I get clean planting materials,Approach NARO or district agric officer
general,How can I get good seeds for planting,From NARO and seed suppliers
cassava,How can I get healthy cassava cutting for planting,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings
cassava,How can I get healthy cassava for planting,From the district Agric officer or NARO institute
maize,How can I get ready market for my maize?,Ask the commercial officer at district
general,How can I get the percentage of humus in the Soil,Dark like color with of the soil can give you a hint on the amount of humus
cassava,How can I harvest cassava.,Uproot using a hoe
beans,How can I harvest my beans?,Pull them out of ground with hands
general,How can I identify pests and diseases in my farm,Get training from Agricultural Officer
maize,How can I identify the maize variety?,Look at its physical characteristics
general,How can I improve on crop yeild.,Use good seed and practice good crop management
maize,How can I improve on maize products,Use good varieties
beans,How can I improve on my bean products?,Use good seeds
general,How can I improve on soil sample to get better crop production.,Use fertilizers
general,How can I improve on the fertility of the soil,Use fertilizers and manure
maize,How can I improve on the nutrients in maize,Add a fertilizer in the garden
beans,How can I improve on yield of beans?,Use fertilizers and good varieties
general,How can I improve the fertility of my soil,Use fertilizers and manure
beans,How can I improve the fertility of my soil for growing beans,Use both organic and inorganic fertilizers and good management practices
general,How can I improve the fertility of soil,Applying organic mature/ planting trees
beans,How can I improve the yield of my beans,Use fertilizers in the garden
beans,How can I improve the yield of my beans?,Plant good varieties and use good agric practices
maize,How can I improve the yield of my maize,Use clean seed of resistant varieties and good agronomic practice
general,How can I improve upon the soil fertility after over land usage?,Add fertilizers
beans,How can I know a bad quality growth in beans,Poor germination
cassava,How can I know a bad quality growth in cassava,It should have at least 4 nodes and a size of diameter of about 2 cm
maize,How can I know a bad quality growth in maize,The amount of cobs on the maize
cassava,How can I know a good quality of cassava cutting for planting,It should have at least 4 nodes and a size of diameter of about 2 cm
beans,How can I know that my bean crops have excessive application of Nitrogen.,A lot of leaves on the plant
beans,How can I know that my beans are dry for storage?,The color of the pod
beans,How can I know that my beans are dry for store,Pods mature when they are yellowish and or left on the plant to mature and dry in the sun becoming brown.
beans,How can I know that my beans is dry for storage,Yellowing of pods and drying after
maize,How can I know that my maize crops has excessive application of nitrogen in it.,The amount of vegetative growth-Above normal
maize,How can I know that this maize floor is expired?,It is discolored
general,How can I know the best quality of fertilizer?,Testing it in the laboratory or soil testing
general,How can I know the fertility of my soil,Test the nitrogen content
general,How can I know the fertilizer of my soil,Testing it in the laboratory or soil testing
general,How can I know the fertilizer of soil.,By first testing the soil followed by recommendations from an expert
maize,How can I know the health maize seeds for planting.,Buy from NARO of certified seed suppliers
general,How can I maintain fertility of my land,Add fertilizers
cassava,How can I maintain my Cassava garden?,Pesticides and cultural control procedures can be mixed to control pests
general,How can I maintain soil fertility,Add fertilizers
general,How can I maintain the fertility of my Soil?,Use both organic and inorganic fertilizers and good management practices
general,How can I make compose manure.,Segregate waste and choose only organic waste which you add to dry leaves and grass and cover for about a month or two to allow it to compost and make manure
general,How can I make compost manure,Segregate waste and choose only organic waste which you add to dry leaves and grass and cover for about a month or two to allow it to compost and make manure
general,How can I make compost manure ?,Cover home waste in a pit
maize,How can I make high yielding varieties of maize crop?,Use good varieties
general,How can I make organic fertilizer,Organic fertilizer is produced by compositing home and agricultural waste and applied as per a crop recommendation
general,How can I make organic fertilizer.,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
general,How can I makes Artificial fertilizer?,Use chemical process
maize,How can I manage maize stalk borer in my maize garden,Spray against stem borer caterpillars when they have attacked 2 to 3 in 10 plants. Spray when they are young caterpillars on leaves and funnels.
maize,How can I manufacture maize high yielding seeds,This is the work of research institutes
maize,How can I measure the amount of fertilizer to spray I acre of the maize garden?,Application rates come with the packaging.. Read them out
general,How can I obtain the percentage of moisture in the soil sample.,Measure
general,How can I obtains the percentage of moisture in the Soil sample .,Use soil moisture meter
beans,How can I pack my bean seeds when storage.,Pack in Pico bags
cassava,How can I pack my cassava in the store.,In bags stacked to a height
beans,How can I plant my Beans?,"Prepare the garden, plant in lines at a spacing of 10 X30 cm"
cassava,How can I plant my cassava?,Dig a hole and put it there
general,How can I prepare manure.,Compost the dung into manure
general,How can I prepare manure?,Put in a place covered and let it decompose
cassava,How can I prevent Cassava green mite on cassava leaves?,Use good agric practices
cassava,How can I prevent bacterial blight,Use disease free planting material and exercise good practices such as weed removal
cassava,How can I prevent cassava leaves from hole damage,Prevent pests
cassava,How can I prevent genetically modified cassava,Ask your District Agric officer for more explanation on GMOs
maize,How can I prevent maize plant in the green?,Making constant weeding especially two times in the growing cycle
cassava,How can I prevent my cassava from hydrogen cyanide,Use improved varieties or process the flour
beans,How can I prevent pathogens in bean garden,Good cropping practices before planting
beans,How can I prevent pest and diseases in my bean garden,Use good cropping practices
maize,How can I prevent premature maize stem rotting?,Use nutrients
cassava,How can I prevent yellowish of cassava leaf.,Yellowing is mainly caused by viral diseases but lack of Nitrogen in the soil can also cuase yellowing
general,How can I promote seed germination,Use good conditions
cassava,How can I prove that My cassava is free from disease?,Test it in the lab for viruses and bacteria
beans,How can I raise good bean Crops?,Use good varieties
general,How can I reduce on the crop loses during storage.,Use pest control chemicals recommended in stores
general,How can I reduce on the over growth of weeds in my garden?,Use herbicides
general,How can I reduce on weeds in my garden,Weed every time weeds appear and cut their seeding cycle
beans,How can I regulate beans growth in my garden,Vary nutrient availability
cassava,How can I sell my cassava,Ask your district commercial officer
cassava,How can I sell my cassava.,Contact your district commercial officer
beans,How can I space my bean seeds in the garden?,60X 20 cm or 40X30 cm depending on variety
maize,How can I store maize grain on large scale?,Use tarpaulins or cemented floor free from dust and store in a well aerated shelter
general,How can I store my food.,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
general,How can I store useful information on Crop production and disease?,A computer or record book
general,How can I sun dry my crops at home,Put on a tarpauline or cemented floor and dry in the sun to reduce moisture
general,How can I sun dry my crops at home.,Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them
general,How can I sundry me crops at home.,Use tarpaulins or a dry drying ground or racks
maize,How can I treat maize grain in the store,Use the recommended chemical
maize,How can I weed maize,Hand weeding or machines
cassava,How can Inter-crop cassava with beans,Plant cassava and beans at the same time
beans,How can a farmer apply fertilizer in beans garden?,Broadcasting or near the crop
maize,How can a farmer combat spider in maize garden,Use miticides
beans,How can a farmer control bean stem maggots,Use pesticides or appropriate methods of planting
cassava,How can a farmer control cassava green mite,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
cassava,How can a farmer control cassava mealybugs in his or her gay?,"Several soap or oil sprays, sprayed with mealybug specific pesticide"
beans,How can a farmer control caterpillar from eating stems of beans?,Synthetic pesticides and powders can kill caterpillars but you can manually kill off the caterpillars also
maize,How can a farmer control mole rat in maize garden?,Use traps or rodenticides
maize,How can a farmer control pest and disease in maize?,Use resistant varieties
beans,How can a farmer control premature drying of bean pods,By ensuring that seeds are resistant to pest and disease
general,How can a farmer control soil erosion?,Use mulches or terraces
cassava,How can a farmer control water longing in cassava garden,Drain the soil
beans,How can a farmer control weeds in beans garden?,By using herbicides or control strategies etc
beans,How can a farmer control weevils in bean store?,Use weevil controlling insecticides
beans,How can a farmer control white flies in beans?,Use recommended pesticides and cultural control practices
cassava,How can a farmer control white flies in cassava garden?,Intercorpping cassava and maize
cassava,How can a farmer dry his or her cassava?,Use tarpaulins or cemented floor free from dust
cassava,How can a farmer improve on cassava quality,Use improved varieties from the right sources
general,How can a farmer improve on soil fertility?,Add fertilisrs and organic manure
general,How can a farmer improve on the fertility of soil?,Add fertilisrs and organic manure
general,How can a farmer kill eggs of pest before mature,Use pre emergence chemicals
maize,How can a farmer market maize products,Ask the commercial officer at district
cassava,How can a farmer plough his or her cassava garden,Use a tractor
beans,How can a farmer prepare beans garden before planting,Removing tree stumps and clearing the garden
maize,How can a farmer prevent bacteria leaf blight in maize,Use good agric practices
beans,How can a farmer prevent black spots on bean root nodules,Good cropping practices before planting
general,How can a farmer prevent cut worms,Use good cropping practices
beans,How can a farmer prevent small holes on beans leaves,Use the insecticides that deal with caterpillars
cassava,How can a farmer prevent sooty molds in cassava garden,Control all whiteflies
general,How can a farmer promote food security in Uganda,NPK mainly
general,How can a farmer protect him or her self from poison when spraying chemicals,Use protective gear
general,How can a farmer store his or her manure,By composting it
maize,How can a improve on nutrients in maize garden,Add fertilizers
maize,How can a know that maize is dry for storage,Test its moisture content
general,How can a maintain healthy seedlings,Dry them well and keep them well
cassava,How can cassava bacterial blight be controlled?,"Through pruning of infected plant tissue, weed removal, use balanced amounts of plant nutrients, allow fallow fields to dry in order to suppress disease"
maize,How can farmers process quality maize flour,Use good processing machinery
general,How can fertility of soil be improved?,Add fertiliserrs
cassava,How can increase the production of cassava,Good management practices and use of the right varieties
maize,How can l control weevils in Maize store?,Use phosphine
cassava,How can l know when to harvest my cassava?,When it has reached maturity at 12 months
general,How can make organic fertilizer?,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
cassava,How can manure help my cassava crops in the garden?,Improves yields
beans,How can stimulate healthy growth of beans during dry season,Use fertilisers and good varieties
cassava,How can we control CBB?,Uproot and burn the infected materials
cassava,How can we control cassava brown streak disease,Use clean seed (stems) of CBSD tolerant varieties such as NAROCASS 1 and NASE 14
cassava,How can we control cassava disease,By practicing good crop management
cassava,How can we control cassava mosaic,Cassava mosaic disease is controlled by the use clean planting material of resistant varieties
maize,How can we manufacture a quality maize flour,Dry the produce it to a low moisture and mill it into flour
cassava,How can we prevent cassava flour from getting spoiled?,Keep it well in a moisture free place
general,How chemicals are used for Crop protection?,They stop pests from attacking crops
cassava,How do I control cassava weevils during storage,Take preventative steps through better management and storage and where possible use recommended insecticides. And other control strategies  
maize,How do I store my maize after harvesting to avoid weevils?,Take preventative steps through better management and storage and where possible use recommended insecticides
maize,How do we call the virus found in the cassava.,Cassava mosiac virus for CMD or cassava brown streak virus for CBSD
cassava,How do we prevent cassava black rot,Remove tree stumps before planting
cassava,How does Cassava bacterial blight spread,Diseased planting material
beans,How does bean disease spread,Through vectors
beans,How does bean disease spread?,Vectors like insects spread diseases
beans,How does beans disease spread,Insects and aphids in the garden
beans,How does beans diseases spread,Through bad seeds or via vectors like insects
maize,How does bees help maize plants during flowering or production?,They carry pollen and allow fertilization to happen
cassava,How does cassava brown streak spread,Infected planting material and poor agric practices and whiteflies
cassava,How does cassava diseases spread?,Via poor planting material or by whiteflies
cassava,How does cassava green mites spread,From plant to plant
cassava,How does cassava manufacture food,Through photosynthesis
cassava,How does cassava mosaic disease spread?,"Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material. To avoid it, use clean planting material of resistant varieties"
cassava,How does cassava mosaic spread?,Use of diseased planting material and poor crop management practices
beans,How does caterpillars enter bean pod before harvesting?,Burrow into the pod
beans,How does grass Hopper affects bean leaves?,They eat the leaves and reduce productivity and yield
maize,How does insects affect maize from the garden?,They reduce yield
cassava,How does integrated pest management helps Cassava plants?,It controls pests without using too much chemicals
maize,How does locusts affects Maize Crops?,They eat leaves
maize,How does locusts affects bean crops?,They eat the leaves
maize,How does maize disease spread,Through vectors and seeds
maize,How does maize stem borers spread,Use of diseased planting material and poor crop management practices
maize,How does maize stem borers spread?,Through beetles which lay eggs on maize
beans,How does mature beans look like?,Less moisture content
cassava,How does mites affect cassava leaves?,Reduce yield
general,How does mulching improves on the soil fertility,It stops soil and water loss
general,How does phosphorus importance to Crop?,It increases energy in the plant
cassava,How does termites affect cassava?,The eat the stem and put them down
cassava,How does the cassava disease spread,Use of diseased planting material and poor crop management practices
general,How does too much rain affects crops?,It increases the incidence of pests and disease
beans,How does wandering Jew affects beans in the garden?,"As a weed, it competes for nutrients with the beans and reduces the yield of beans"
maize,How does warmth help in Maize seed germination?,It provides the right temperature
cassava,How does water logging affects Cassava roots?,Reduces aeration around the roots causing rotting
maize,How does weather changes affects maize flowering?,Hot weather limits pollination
cassava,How does white flies spread out in cassava garden?,They lay eggs and hatch new whiteflies
cassava,How does wind affect Cassava plants?,It spreads disease factor and also leads to drought
maize,How does wind erosion affect maize plants in my garden ?,Leads to loss of nutrients
beans,How does wind helps in bean seeds germination?,It doesnt
cassava,How long does good Cassava take to mature?,12 months
maize,"How long maize takes to harvest,?",About 120 days
maize,How long should I keep my Maize in the store?,At least before it gets attacked by pests
beans,How long should I keep my beans in store,At least for 4 months and as long as they are not attacked by pests
maize,How long should I keep my maize in store,At least up to 6 months
cassava,How long should I take to plant my cassava cuttings,Cassava that is about 9-15 months can be used for planting
maize,How long should I take to plant my maize,At least 2.5 months
beans,How many bean seedlings should I live per hole,0ne
beans,How many bean seeds planted per each hole?,Plant one or two seeds per hole but one is the most recommended
cassava,How many cassava stems should I plant per hole?,One to two 
beans,How many days bean seeds takes to germinate,5-7 days
maize,How many days maize takes to harvest,About 120 days
maize,How many disease affect maize,Many
general,How many kgs can I get in one acre?,"About 10,000-30,000 kilos of fresh cassava"
general,How many layers of soil,Mainly soil layers
maize,How many maize plant should I live per hole?,One to 2 seeds
cassava,How many meters is suitable for cassava stem cutting?,0.25 meters is suitable
beans,How many months beans take to be harvested,Atmost 3 months depending on variety
beans,How many months beans take to get harvested,3 months maximum
cassava,How many months does cassava plant finish in the garden,12 months
cassava,How many nodes should a good cassava cutting have?,6 nodes
cassava,How many nodules should a good cassava have,Cassava has no nodules but the stem has nodes. A good cassava stem should have atleast 4-8 nodes
cassava,How many noses should a good cassava cuttings have,4-5nodes
maize,How many time should I spray my maize?,Whenever problem arises and at least twice a week
maize,How many time should I start weeding my Maize?,Two times that is a month after germination and before flowering
beans,How many time should I weed my Bean plants in the garden?,Two times that is a month after germination and before flowering
cassava,How many time should I weed my cassava?,Testing it in the laboratory or soil testing
maize,How many time should I weeds my maize plant?,Two times that is a month after germination and before flowering
beans,How many times beans is sprayed?,As long as disease or pests can be seen
cassava,How many times can I dry my cassava before storage,As long as it is above 14% moisture
cassava,How many times cassava weeded?,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
maize,How many times should I spray my maize garden,"Depending on the incidence of pests and weeds in the garden, spray when numbers increase"
maize,How many times should I dry maize seeds before storage,Up to when moisture content is 14%
maize,How many times should I plough garden before planting maize,Twice
cassava,How many times should I plough my garden for planting cassava,Two times are enough to ensure a smooth and well prepared garden
maize,How many times should I plough my garden for planting maize,Twice or even once
maize,How many times should I spray my Maize?,Depends on what you are spraying
beans,How many times should I weed my beans,Weeding is done every time there are many weeds in the garden but at least two times in the growing cycle
cassava,How many times should I weed my cassava,Weeding is done every time there are many weeds in the garden but at least two times in the growing cycle
maize,How many times should I weed my maize,Two times that is a month after germination and before flowering
maize,How many times should a farmer apply manure on Maize garden?,One to two times
beans,How many times should a farmer dry his or her Bean seeds before planting,Drying up to when moisture is about 14%
cassava,How many times should cassava be sprayed?,As long as disease or pests can be seen
beans,How many types of beans caterpillar,Many types but mainly two
cassava,How many varieties of cassava in Uganda?,About 20 improved and many locals
cassava,How mature should be cassava stem cutting for planting?,A medium size stem of about 9 to 15 months is appropriate for planting
cassava,How meters should be cassava stem cutting,0.2 meters
beans,How should I apply fertilizer in my bean garden,Depends on the fertilizer but most of them are applied in the soil where the crop is to be planted (proximity) or sprayed on the growing leaves for foliar fertilisers
cassava,How should I control Cassava green mite in my Cassava garden?,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
beans,How should I dry bean seeds?,Dry in a dry place free from dust and contaminants
cassava,How should I know my cassava plants have a deficiency symptom of potassium?,Browning and scotching of leaves
maize,How should I know the good quality of fertilizer for applying in my maize,Buy from a recommended supplier
beans,How should I plant my beans,Space at 10X30 cm and plant at about 5 cm below the soil
cassava,How should I plant my cassava stems cuttings,Dig holes 1 by 1 meter apart in a square and place one good stem and cover it with the soil
maize,How should I plant my maize,Space at 70X30 cm and plant at about 5 cm below the soil
general,How should a farmer remove excess water from the Soil?,Drain it
cassava,How will I differentiate narocass cassava from other cassavas,Look at the light green petioles
beans,How would a control bean weevils,Use insecticides
beans,I can see in prison and School eat beans almost daily why?,They have proteins and carbohydrates and are not allergenic
cassava,I have 15 acres of improved cassava ready for harvesting. Help me with marketing please,"Please consult with Nile breweries ltd, Uganda breweries, etc"
cassava,I have cassava is not growing fast why,Limited nutrients in the growing environment
general,Identify two ways of controlling pest in the garden,Use pesticides and good farming practices
beans,"If I a farmer sown the Bean seeds too deep, What should I most likely going to observe?",They may not germinate
cassava,"If my cassava germinates very many branches per hole, is it ok for me to break some branches of it to live only ?",It's not advisable to prune cassava
cassava,In which way can cassava kill a person?,When you eat one with a lot of hydrogen cyanide
cassava,Is cassava also planted using fertilizer?,No
cassava,Is cassava also sprayed,"Yes, sprayed with insecticides to control whiteflies and mealybug in some regions"
beans,Is deep digging the best way to prepare a garden for planting beans?,"Yes, because deep digging exposes pests barrowing in the soil which are then killed by the hostile environment or eaten by predators"
maize,"Is good to plant maize, and beans and cassava in one garden?",It can be done but not so good
general,Is it bad to over plough garden?,No
cassava,Is it good to eat diseased cassava roots?,No. but they wont kill you
general,Is it good to inter crop beans and maize,Yes
cassava,Is it good to make alcohol from cassava?,"Yes, alcohol from cassava is as good as that from other substrates"
cassava,Is it good to plant already infected cassava stems?,No
maize,Is it good to plant maize and beans in one hole?,No
beans,Is it healthy to eat bean pods?,Yes
cassava,Is it healthy to eat cassava affected by cassava mosaic.,Yes. Plant viruses do not affect humans
cassava,Is it healthy to eat sprayed cassava?,"If a contact insecticide is used the tubers under the ground remains safe, however where systemic pesticide is used may incorporate into the tubers"
beans,Is it healthy to plant untreated Bean seeds,Yes
cassava,Is it healthy to spray cassava during flowering time,No
maize,Is it healthy to spray maize during flowering time,Yes
general,Is it ok for me to do seed selection before planting?,Yes
cassava,Is it ok to prune cassava plant?,Removal of excess branches is not necessary but can be done
beans,Is it ok to spray bean plant during flowering.,Depends on what you are spraying
general,Is it true or false that pesticides are used to kill small pest but they are not strong enough to humans?,It's true
cassava,Is it true that cassava flour can build a strong wall like cement?,Yes
cassava,Is it true that cassava is the main food crop in Uganda?,Yes
general,Is there a possibility of providing farmers with agro inputs?,Yes
maize,Is there any chemical l can use to store my maize after after harvesting,Yes. You can apply reccomended chemicals to stop spoilage
beans,Is there any advantage and disadvantage with beans to a human being?,No known disadvantages. Only advantages
beans,Is there any cassava variety which can finish 8year,No
maize,Is there any chemical l can use to store my maize after harvesting?,Phosphine or weevil and grain borer control pesticides
cassava,Isn't bees cassava disease spreading insect,No
general,List down the three broad recognized textural classes,"Sand, silt and clay"
maize,Name the disease that destroy maize plant in the green.,Foliar diseases and stalk rot
maize,Now as shine have burn maize and it has started raining will this maize be alright?,Possibly depending on extent of damage
maize,Now how can I prevent purple color in maize leaves,Thats a virus. Can't be controlled
maize,On which part do maize store food?,Maize corn
beans,Some people don't want beans in ceremonies why?,It is considered a low value food
general,The adverse effects of wind on crops and Livestock diseases,Drying of the crops
general,The climatic factors that affect agriculture include,"Drought, floods"
beans,The factors that affect crop like bean distribution in East Africa include,Pests and disease attack
maize,The factors that affect crop like maize distribution in East Africa include,Consumption levels
general,The importance of the agriculture in Uganda includes the following,A source of food security and income security
beans,The practice of planting beans in a place that once had beans for a past few years is,Crop rotation
maize,Types of maize pests,"Fall army worm, stem borers"
cassava,What can be done to avoid cassava pest and diseases,Spray some pests and if possible use resistant varieties
beans,What Makes bean pod to ripe before maturity date,Diseases and may be drought
general,What affects plants population per unit area?,The sowing density
beans,What are bean stem maggots?,Larvae of some moths that are pests of the crop
general,What are dangers of mono-culture,Loss of nutrients and environmental degradation
cassava,What are dangers of spraying cassava with chemical pesticide,It may affect humans
general,What are demerits of crop rotation,Over use of land
cassava,"What are essentials of proper spacing of cassava,?",1 by 1 meters is the suitable spacing
general,What are merits of crop rotation,Improved crop yields
